Date,City,PM25
2005-01-11,Somanya,57.2
2005-01-11,Sunyani,85.0
2005-01-11,Tamale,79.7
2005-01-11,Techiman,71.1
2005-01-11,Tema,48.9
2005-01-11,Wa,72.0
2005-01-12,Accra,63.3
2005-01-12,Bolgatanga,74.9
2005-01-12,Cape Coast,58.0
2005-01-12,Dambai,69.3
2005-01-12,Damongo,89.7
2005-01-12,Goaso,82.9
2005-01-12,Ho,47.3
2005-01-12,Kintampo,63.4
2005-01-12,Koforidua,54.2
2005-01-12,Kumasi,67.7
2005-01-12,Nalerigu,64.8
2005-01-12,Navrongo,75.1
2005-01-12,Sefwi Wiawso,67.0
2005-01-12,Sekondi-Takoradi,55.3
2005-01-12,Somanya,49.6
2005-01-12,Sunyani,90.0
2005-01-12,Tamale,71.9
2005-01-12,Techiman,68.2
2005-01-12,Tema,60.8
2005-01-12,Wa,70.9
2005-01-13,Accra,73.5
2005-01-13,Bolgatanga,70.3
2005-01-13,Cape Coast,78.3
2005-01-13,Dambai,81.4
2005-01-13,Damongo,88.9
2005-01-13,Goaso,67.3
2005-01-13,Ho,61.6
2005-01-13,Kintampo,77.0
2005-01-13,Koforidua,70.8
2005-01-13,Kumasi,76.1
2005-01-13,Nalerigu,69.4
2005-01-13,Navrongo,64.8
2005-01-13,Sefwi Wiawso,51.3
2005-01-13,Sekondi-Takoradi,90.6
2005-01-13,Somanya,60.4
2005-01-13,Sunyani,70.9
2005-01-13,Tamale,79.7
2005-01-13,Techiman,82.0
2005-01-13,Tema,83.8
2005-01-13,Wa,73.5
2005-01-14,Accra,93.0
2005-01-14,Bolgatanga,96.8
2005-01-14,Cape Coast,83.9
2005-01-14,Dambai,124.1
2005-01-14,Damongo,89.7
2005-01-14,Goaso,111.5
2005-01-14,Ho,66.3
2005-01-14,Kintampo,92.7
2005-01-14,Koforidua,69.1
2005-01-14,Kumasi,78.5
2005-01-14,Nalerigu,82.3
2005-01-14,Navrongo,95.5
2005-01-14,Sefwi Wiawso,62.5
2005-01-14,Sekondi-Takoradi,91.1
2005-01-14,Somanya,72.7
2005-01-14,Sunyani,142.8
2005-01-14,Tamale,119.6
2005-01-14,Techiman,88.4
2005-01-14,Tema,89.8
2005-01-14,Wa,75.0
2005-01-15,Accra,81.9
2005-01-15,Bolgatanga,67.7
2005-01-15,Cape Coast,84.4
2005-01-15,Dambai,85.4
2005-01-15,Damongo,86.1
2005-01-15,Goaso,61.4
2005-01-15,Ho,45.5
2005-01-15,Kintampo,92.1
2005-01-15,Koforidua,58.8
2005-01-15,Kumasi,69.7
2005-01-15,Nalerigu,73.8
2005-01-15,Navrongo,91.6
2005-01-15,Sefwi Wiawso,47.8
2005-01-15,Sekondi-Takoradi,54.3
2005-01-15,Somanya,45.0
2005-01-15,Sunyani,91.1
2005-01-15,Tamale,92.8
2005-01-15,Techiman,52.2
2005-01-15,Tema,88.1
2005-01-15,Wa,86.8
2005-01-16,Accra,73.9
2005-01-16,Bolgatanga,92.9
2005-01-16,Cape Coast,66.0
2005-01-16,Dambai,98.7
2005-01-16,Damongo,127.2
2005-01-16,Goaso,71.7
2005-01-16,Ho,68.9
2005-01-16,Kintampo,146.5
2005-01-16,Koforidua,76.4
2005-01-16,Kumasi,53.3
2005-01-16,Nalerigu,91.7
2005-01-16,Navrongo,91.6
2005-01-16,Sefwi Wiawso,86.2
2005-01-16,Sekondi-Takoradi,60.1
2005-01-16,Somanya,64.2
2005-01-16,Sunyani,136.2
2005-01-16,Tamale,129.9
2005-01-16,Techiman,93.6
2005-01-16,Tema,70.1
2005-01-16,Wa,83.7
2005-01-17,Accra,83.2
2005-01-17,Bolgatanga,79.1
2005-01-17,Cape Coast,58.7
2005-01-17,Dambai,45.4
2005-01-17,Damongo,123.3
2005-01-17,Goaso,51.4
2005-01-17,Ho,57.5
2005-01-17,Kintampo,104.3
2005-01-17,Koforidua,76.4
2005-01-17,Kumasi,46.7
2005-01-17,Nalerigu,69.4
2005-01-17,Navrongo,104.5
2005-01-17,Sefwi Wiawso,51.2
2005-01-17,Sekondi-Takoradi,56.9
2005-01-17,Somanya,72.5
2005-01-17,Sunyani,69.6
2005-01-17,Tamale,102.2
2005-01-17,Techiman,78.9
2005-01-17,Tema,97.7
2005-01-17,Wa,111.5
2005-01-18,Accra,73.0
2005-01-18,Bolgatanga,105.5
2005-01-18,Cape Coast,81.0
2005-01-18,Dambai,139.6
2005-01-18,Damongo,114.5
2005-01-18,Goaso,74.2
2005-01-18,Ho,76.7
2005-01-18,Kintampo,120.3
2005-01-18,Koforidua,65.5
2005-01-18,Kumasi,73.3
2005-01-18,Nalerigu,103.1
2005-01-18,Navrongo,108.5
2005-01-18,Sefwi Wiawso,69.0
2005-01-18,Sekondi-Takoradi,72.1
2005-01-18,Somanya,70.6
2005-01-18,Sunyani,136.7
2005-01-18,Tamale,115.8
2005-01-18,Techiman,111.4
2005-01-18,Tema,74.0
2005-01-18,Wa,97.1
2005-01-19,Accra,58.1
2005-01-19,Bolgatanga,84.5
2005-01-19,Cape Coast,62.9
2005-01-19,Dambai,116.4
2005-01-19,Damongo,94.1
2005-01-19,Goaso,95.4
2005-01-19,Ho,78.9
2005-01-19,Kintampo,91.4
2005-01-19,Koforidua,63.9
2005-01-19,Kumasi,75.8
2005-01-19,Nalerigu,81.5
2005-01-19,Navrongo,85.7
2005-01-19,Sefwi Wiawso,52.6
2005-01-19,Sekondi-Takoradi,52.6
2005-01-19,Somanya,65.1
2005-01-19,Sunyani,123.0
2005-01-19,Tamale,111.1
2005-01-19,Techiman,88.6
2005-01-19,Tema,74.4
2005-01-19,Wa,82.1
2005-01-20,Accra,47.9
2005-01-20,Bolgatanga,76.9
2005-01-20,Cape Coast,55.3
2005-01-20,Dambai,78.3
2005-01-20,Damongo,92.6
2005-01-20,Goaso,73.9
2005-01-20,Ho,66.5
2005-01-20,Kintampo,108.8
2005-01-20,Koforidua,55.6
2005-01-20,Kumasi,44.1
2005-01-20,Nalerigu,83.3
2005-01-20,Navrongo,73.8
2005-01-20,Sefwi Wiawso,44.0
2005-01-20,Sekondi-Takoradi,37.2
2005-01-20,Somanya,55.4
2005-01-20,Sunyani,89.9
2005-01-20,Tamale,112.9
2005-01-20,Techiman,79.3
2005-01-20,Tema,62.3
2005-01-20,Wa,91.0
2005-01-21,Accra,63.8
2005-01-21,Bolgatanga,74.7
2005-01-21,Cape Coast,43.8
2005-01-21,Dambai,89.1
2005-01-21,Damongo,58.3
2005-01-21,Goaso,78.4
2005-01-21,Ho,72.5
2005-01-21,Kintampo,93.9
2005-01-21,Koforidua,50.6
2005-01-21,Kumasi,73.6
2005-01-21,Nalerigu,83.3
2005-01-21,Navrongo,80.8
2005-01-21,Sefwi Wiawso,43.3
2005-01-21,Sekondi-Takoradi,42.0
2005-01-21,Somanya,54.1
2005-01-21,Sunyani,70.5
2005-01-21,Tamale,101.3
2005-01-21,Techiman,61.9
2005-01-21,Tema,57.7
2005-01-21,Wa,69.5
2005-01-22,Accra,35.6
2005-01-22,Bolgatanga,88.6
2005-01-22,Cape Coast,41.4
2005-01-22,Dambai,88.4
2005-01-22,Damongo,107.8
2005-01-22,Goaso,55.2
2005-01-22,Ho,38.6
2005-01-22,Kintampo,125.6
2005-01-22,Koforidua,43.9
2005-01-22,Kumasi,52.3
2005-01-22,Nalerigu,78.1
2005-01-22,Navrongo,84.8
2005-01-22,Sefwi Wiawso,40.1
2005-01-22,Sekondi-Takoradi,35.7
2005-01-22,Somanya,56.9
2005-01-22,Sunyani,90.5
2005-01-22,Tamale,86.4
2005-01-22,Techiman,100.2
2005-01-22,Tema,45.3
2005-01-22,Wa,67.2
2005-01-23,Accra,38.6
2005-01-23,Bolgatanga,117.3
2005-01-23,Cape Coast,42.7
2005-01-23,Dambai,66.3
2005-01-23,Damongo,124.4
2005-01-23,Goaso,46.0
2005-01-23,Ho,42.2
2005-01-23,Kintampo,92.0
2005-01-23,Koforidua,39.5
2005-01-23,Kumasi,41.6
2005-01-23,Nalerigu,97.8
2005-01-23,Navrongo,116.0
2005-01-23,Sefwi Wiawso,38.0
2005-01-23,Sekondi-Takoradi,41.5
2005-01-23,Somanya,52.7
2005-01-23,Sunyani,45.0
2005-01-23,Tamale,127.5
2005-01-23,Techiman,53.7
2005-01-23,Tema,37.8
2005-01-23,Wa,105.7
2005-01-24,Accra,35.9
2005-01-24,Bolgatanga,102.6
2005-01-24,Cape Coast,37.7
2005-01-24,Dambai,49.6
2005-01-24,Damongo,90.2
2005-01-24,Goaso,40.0
2005-01-24,Ho,37.7
2005-01-24,Kintampo,49.3
2005-01-24,Koforidua,40.4
2005-01-24,Kumasi,49.9
2005-01-24,Nalerigu,107.1
2005-01-24,Navrongo,110.9
2005-01-24,Sefwi Wiawso,40.0
2005-01-24,Sekondi-Takoradi,38.3
2005-01-24,Somanya,35.6
2005-01-24,Sunyani,47.6
2005-01-24,Tamale,95.4
2005-01-24,Techiman,59.5
2005-01-24,Tema,37.7
2005-01-24,Wa,109.2
2005-01-25,Accra,37.1
2005-01-25,Bolgatanga,116.8
2005-01-25,Cape Coast,40.1
2005-01-25,Dambai,37.4
2005-01-25,Damongo,47.3
2005-01-25,Goaso,45.3
2005-01-25,Ho,40.0
2005-01-25,Kintampo,46.5
2005-01-25,Koforidua,35.0
2005-01-25,Kumasi,35.9
2005-01-25,Nalerigu,112.1
2005-01-25,Navrongo,113.1
2005-01-25,Sefwi Wiawso,34.9
2005-01-25,Sekondi-Takoradi,37.2
2005-01-25,Somanya,34.8
2005-01-25,Sunyani,41.9
2005-01-25,Tamale,75.3
2005-01-25,Techiman,36.2
2005-01-25,Tema,51.6
2005-01-25,Wa,76.6
2005-01-26,Accra,31.9
2005-01-26,Bolgatanga,89.7
2005-01-26,Cape Coast,31.3
2005-01-26,Dambai,39.6
2005-01-26,Damongo,52.2
2005-01-26,Goaso,34.3
2005-01-26,Ho,39.7
2005-01-26,Kintampo,45.4
2005-01-26,Koforidua,38.3
2005-01-26,Kumasi,37.5
2005-01-26,Nalerigu,96.4
2005-01-26,Navrongo,90.2
2005-01-26,Sefwi Wiawso,37.4
2005-01-26,Sekondi-Takoradi,31.8
2005-01-26,Somanya,34.6
2005-01-26,Sunyani,34.2
2005-01-26,Tamale,63.5
2005-01-26,Techiman,37.5
2005-01-26,Tema,32.3
2005-01-26,Wa,67.6
2005-01-27,Accra,30.0
2005-01-27,Bolgatanga,103.6
2005-01-27,Cape Coast,30.4
2005-01-27,Dambai,37.9
2005-01-27,Damongo,42.7
2005-01-27,Goaso,37.7
2005-01-27,Ho,34.0
2005-01-27,Kintampo,35.1
2005-01-27,Koforidua,37.0
2005-01-27,Kumasi,38.2
2005-01-27,Nalerigu,62.0
2005-01-27,Navrongo,85.5
2005-01-27,Sefwi Wiawso,36.6
2005-01-27,Sekondi-Takoradi,30.6
2005-01-27,Somanya,33.7
2005-01-27,Sunyani,32.6
2005-01-27,Tamale,67.6
2005-01-27,Techiman,33.0
2005-01-27,Tema,32.1
2005-01-27,Wa,66.1
2005-01-28,Accra,31.2
2005-01-28,Bolgatanga,76.3
2005-01-28,Cape Coast,32.7
2005-01-28,Dambai,37.9
2005-01-28,Damongo,34.0
2005-01-28,Goaso,34.7
2005-01-28,Ho,37.6
2005-01-28,Kintampo,38.4
2005-01-28,Koforidua,36.5
2005-01-28,Kumasi,34.6
2005-01-28,Nalerigu,64.0
2005-01-28,Navrongo,74.9
2005-01-28,Sefwi Wiawso,35.5
2005-01-28,Sekondi-Takoradi,30.3
2005-01-28,Somanya,34.3
2005-01-28,Sunyani,33.9
2005-01-28,Tamale,47.4
2005-01-28,Techiman,34.0
2005-01-28,Tema,31.3
2005-01-28,Wa,70.6
2005-01-29,Accra,30.7
2005-01-29,Bolgatanga,76.3
2005-01-29,Cape Coast,32.2
2005-01-29,Dambai,37.0
2005-01-29,Damongo,35.9
2005-01-29,Goaso,35.8
2005-01-29,Ho,39.3
2005-01-29,Kintampo,37.7
2005-01-29,Koforidua,38.4
2005-01-29,Kumasi,37.3
2005-01-29,Nalerigu,76.8
2005-01-29,Navrongo,78.7
2005-01-29,Sefwi Wiawso,36.2
2005-01-29,Sekondi-Takoradi,29.0
2005-01-29,Somanya,37.6
2005-01-29,Sunyani,39.3
2005-01-29,Tamale,55.7
2005-01-29,Techiman,39.9
2005-01-29,Tema,34.3
2005-01-29,Wa,52.8
2005-01-30,Accra,29.1
2005-01-30,Bolgatanga,97.5
2005-01-30,Cape Coast,34.7
2005-01-30,Dambai,34.8
2005-01-30,Damongo,64.6
2005-01-30,Goaso,35.7
2005-01-30,Ho,36.7
2005-01-30,Kintampo,39.0
2005-01-30,Koforidua,37.8
2005-01-30,Kumasi,36.7
2005-01-30,Nalerigu,96.4
2005-01-30,Navrongo,107.4
2005-01-30,Sefwi Wiawso,35.4
2005-01-30,Sekondi-Takoradi,34.8
2005-01-30,Somanya,34.1
2005-01-30,Sunyani,37.8
2005-01-30,Tamale,84.5
2005-01-30,Techiman,37.2
2005-01-30,Tema,30.8
2005-01-30,Wa,88.6
2005-01-31,Accra,31.7
2005-01-31,Bolgatanga,96.9
2005-01-31,Cape Coast,30.5
2005-01-31,Dambai,36.9
2005-01-31,Damongo,99.7
2005-01-31,Goaso,37.6
2005-01-31,Ho,37.3
2005-01-31,Kintampo,52.4
2005-01-31,Koforidua,51.7
2005-01-31,Kumasi,40.4
2005-01-31,Nalerigu,89.0
2005-01-31,Navrongo,92.6
2005-01-31,Sefwi Wiawso,35.7
2005-01-31,Sekondi-Takoradi,30.4
2005-01-31,Somanya,49.9
2005-01-31,Sunyani,41.0
2005-01-31,Tamale,107.0
2005-01-31,Techiman,43.4
2005-01-31,Tema,32.1
2005-01-31,Wa,118.1
2005-02-01,Accra,31.9
2005-02-01,Bolgatanga,67.5
2005-02-01,Cape Coast,31.7
2005-02-01,Dambai,42.6
2005-02-01,Damongo,108.2
2005-02-01,Goaso,43.2
2005-02-01,Ho,38.9
2005-02-01,Kintampo,94.0
2005-02-01,Koforidua,36.7
2005-02-01,Kumasi,39.9
2005-02-01,Nalerigu,106.1
2005-02-01,Navrongo,73.7
2005-02-01,Sefwi Wiawso,33.3
2005-02-01,Sekondi-Takoradi,33.0
2005-02-01,Somanya,36.7
2005-02-01,Sunyani,61.7
2005-02-01,Tamale,83.3
2005-02-01,Techiman,60.8
2005-02-01,Tema,31.7
2005-02-01,Wa,91.0
2005-02-02,Accra,38.6
2005-02-02,Bolgatanga,98.8
2005-02-02,Cape Coast,36.5
2005-02-02,Dambai,45.6
2005-02-02,Damongo,113.2
2005-02-02,Goaso,34.2
2005-02-02,Ho,42.4
2005-02-02,Kintampo,59.1
2005-02-02,Koforidua,37.7
2005-02-02,Kumasi,36.9
2005-02-02,Nalerigu,102.9
2005-02-02,Navrongo,93.9
2005-02-02,Sefwi Wiawso,36.4
2005-02-02,Sekondi-Takoradi,36.5
2005-02-02,Somanya,38.1
2005-02-02,Sunyani,38.7
2005-02-02,Tamale,107.3
2005-02-02,Techiman,47.4
2005-02-02,Tema,38.3
2005-02-02,Wa,108.1
2005-02-03,Accra,38.0
2005-02-03,Bolgatanga,110.4
2005-02-03,Cape Coast,35.7
2005-02-03,Dambai,46.0
2005-02-03,Damongo,64.9
2005-02-03,Goaso,35.9
2005-02-03,Ho,37.4
2005-02-03,Kintampo,44.6
2005-02-03,Koforidua,36.0
2005-02-03,Kumasi,38.2
2005-02-03,Nalerigu,96.2
2005-02-03,Navrongo,99.2
2005-02-03,Sefwi Wiawso,35.1
2005-02-03,Sekondi-Takoradi,35.5
2005-02-03,Somanya,46.5
2005-02-03,Sunyani,37.5
2005-02-03,Tamale,67.2
2005-02-03,Techiman,37.4
2005-02-03,Tema,40.7
2005-02-03,Wa,100.3
2005-02-04,Accra,31.6
2005-02-04,Bolgatanga,80.0
2005-02-04,Cape Coast,31.6
2005-02-04,Dambai,47.7
2005-02-04,Damongo,65.6
2005-02-04,Goaso,33.6
2005-02-04,Ho,43.4
2005-02-04,Kintampo,34.6
2005-02-04,Koforidua,34.0
2005-02-04,Kumasi,33.0
2005-02-04,Nalerigu,84.1
2005-02-04,Navrongo,71.4
2005-02-04,Sefwi Wiawso,36.1
2005-02-04,Sekondi-Takoradi,31.1
2005-02-04,Somanya,33.7
2005-02-04,Sunyani,38.3
2005-02-04,Tamale,76.1
2005-02-04,Techiman,33.3
2005-02-04,Tema,32.6
2005-02-04,Wa,106.9
2005-02-05,Accra,36.7
2005-02-05,Bolgatanga,80.0
2005-02-05,Cape Coast,34.4
2005-02-05,Dambai,55.8
2005-02-05,Damongo,55.8
2005-02-05,Goaso,34.6
2005-02-05,Ho,35.0
2005-02-05,Kintampo,35.4
2005-02-05,Koforidua,37.2
2005-02-05,Kumasi,33.0
2005-02-05,Nalerigu,96.1
2005-02-05,Navrongo,74.8
2005-02-05,Sefwi Wiawso,47.5
2005-02-05,Sekondi-Takoradi,32.9
2005-02-05,Somanya,35.2
2005-02-05,Sunyani,34.4
2005-02-05,Tamale,76.1
2005-02-05,Techiman,36.0
2005-02-05,Tema,44.3
2005-02-05,Wa,91.0
2005-02-06,Accra,29.5
2005-02-06,Bolgatanga,75.5
2005-02-06,Cape Coast,30.5
2005-02-06,Dambai,47.4
2005-02-06,Damongo,69.4
2005-02-06,Goaso,35.9
2005-02-06,Ho,41.2
2005-02-06,Kintampo,60.1
2005-02-06,Koforidua,36.7
2005-02-06,Kumasi,32.9
2005-02-06,Nalerigu,74.8
2005-02-06,Navrongo,81.3
2005-02-06,Sefwi Wiawso,33.9
2005-02-06,Sekondi-Takoradi,30.4
2005-02-06,Somanya,37.2
2005-02-06,Sunyani,38.9
2005-02-06,Tamale,73.6
2005-02-06,Techiman,45.5
2005-02-06,Tema,29.2
2005-02-06,Wa,83.8
2005-02-07,Accra,29.2
2005-02-07,Bolgatanga,86.2
2005-02-07,Cape Coast,30.0
2005-02-07,Dambai,38.6
2005-02-07,Damongo,93.4
2005-02-07,Goaso,35.3
2005-02-07,Ho,35.7
2005-02-07,Kintampo,42.0
2005-02-07,Koforidua,29.1
2005-02-07,Kumasi,35.0
2005-02-07,Nalerigu,98.6
2005-02-07,Navrongo,82.3
2005-02-07,Sefwi Wiawso,37.0
2005-02-07,Sekondi-Takoradi,29.1
2005-02-07,Somanya,36.4
2005-02-07,Sunyani,34.5
2005-02-07,Tamale,82.3
2005-02-07,Techiman,34.8
2005-02-07,Tema,27.2
2005-02-07,Wa,107.6
2005-02-08,Accra,30.8
2005-02-08,Bolgatanga,65.1
2005-02-08,Cape Coast,36.1
2005-02-08,Dambai,46.8
2005-02-08,Damongo,79.4
2005-02-08,Goaso,36.1
2005-02-08,Ho,36.6
2005-02-08,Kintampo,35.8
2005-02-08,Koforidua,28.6
2005-02-08,Kumasi,37.4
2005-02-08,Nalerigu,84.2
2005-02-08,Navrongo,57.5
2005-02-08,Sefwi Wiawso,31.7
2005-02-08,Sekondi-Takoradi,34.3
2005-02-08,Somanya,28.2
2005-02-08,Sunyani,38.6
2005-02-08,Tamale,65.8
2005-02-08,Techiman,43.1
2005-02-08,Tema,32.8
2005-02-08,Wa,82.5
2005-02-09,Accra,30.1
2005-02-09,Bolgatanga,76.7
2005-02-09,Cape Coast,36.6
2005-02-09,Dambai,37.9
2005-02-09,Damongo,47.5
2005-02-09,Goaso,36.8
2005-02-09,Ho,37.1
2005-02-09,Kintampo,37.6
2005-02-09,Koforidua,28.8
2005-02-09,Kumasi,34.9
2005-02-09,Nalerigu,81.9
2005-02-09,Navrongo,69.2
2005-02-09,Sefwi Wiawso,25.9
2005-02-09,Sekondi-Takoradi,35.6
2005-02-09,Somanya,28.6
2005-02-09,Sunyani,38.7
2005-02-09,Tamale,75.8
2005-02-09,Techiman,39.8
2005-02-09,Tema,31.5
2005-02-09,Wa,103.0
2005-02-10,Accra,33.9
2005-02-10,Bolgatanga,70.3
2005-02-10,Cape Coast,36.2
2005-02-10,Dambai,39.6
2005-02-10,Damongo,70.7
2005-02-10,Goaso,38.0
2005-02-10,Ho,38.1
2005-02-10,Kintampo,40.2
2005-02-10,Koforidua,40.0
2005-02-10,Kumasi,40.3
2005-02-10,Nalerigu,84.9
2005-02-10,Navrongo,73.8
2005-02-10,Sefwi Wiawso,38.1
2005-02-10,Sekondi-Takoradi,35.1
2005-02-10,Somanya,38.7
2005-02-10,Sunyani,38.4
2005-02-10,Tamale,69.0
2005-02-10,Techiman,36.9
2005-02-10,Tema,34.6
2005-02-10,Wa,94.7
